"","name","race","gender","proffesion","affiliation","text"
"11","Berengar","Human (Witcher)","Male","Witcher"," School of the Wolf Salamandra","The witcher that was first mentioned by Vesemir, Berengar had left Kaer Morhen before Geralt's arrival.After a long search through the swamp, Geralt finds a cloven Salamandra medallion, along with Berengar's belongings leading him to conclude that Berengar must be dead. However, in Chapter IV, Geralt finds Berengar, still very much alive just outside of Murky Waters.Berengar and Geralt work together briefly, before Berengar explains why he left Kaer Morhen. He voices his disdain for the Witchers, whom he holds responsible for denying him a normal life. Later, on Black Tern Island, Berengar confronts Geralt with the intention of challenging him to a duel, forcing Geralt to choose once again, his next course of action.If he spares Berengar, then Geralt will have an ally to aid in the final battle with Azar Javed. If he duels with Berengar (as Geralt tells Berengar, just before the fight), only one can come out alive and Geralt prevails. This leaves Geralt with Berengar's remaining belongings, which include a powerful medallion, so powerful in fact, that Azar Javed cannot fail to notice it in the final battle.Note that when Azar Javed kills Berengar (if Geralt spared him earlier), the powerful medallion cannot be found on his corpse.It is actually possible to prevent Azar Javed from killing Berengar at the end of Chapter V, but nothing happens between Geralt and Berengar if this is the case. When the player clicks on Berengar, the witcher says: ""I needed time to think"" as a normal NPC would do, no choice dialogues appear. If Geralt returns to the Laboratory in the catacombs of the Old Mansion, Berengar is still standing there as if the game never expected the player to prevent Berengar's death.Berengar is implicated in the following quests:There is no additional entry to Berengar's character section if the player prevents Javed from killing him.Although deceased, Berengar is indirectly involved in the Kaer Morhen quest Berengar's Blade. The quest cannot be triggered if Geralt already has the silver blade Tor'haerne in his possession. Also, while doing the Contract: Doors Slamming Shut, Geralt can tell his contract giver which school he belongs to. When answering he belongs to the school of the Wolf, Count Kurt Dysart will tell him he once knew a witcher from the school of the wolf, his name beginning with the letter B, possible referring to Berengar."
"12",NA,NA,NA,NA,NA,"NULL"
"13","Blacksmith's son","Human","Male",NA,NA,"The blacksmith in Murky Waters does not live alone, nor is he the only merchant. He and his wife have a son who also trades in weapons, armor and related products as part of the family business. The boy does not seem really into doing it, but he has to obey his father's wishes, apparently ""or else!"". The lad can be found next to the his father's shop, looking forlorn. Like most teenagers, he seems to get up relatively late as well."
"14","Blacksmith's wife","Human",NA,NA,NA,"The blacksmith's wife is the only member of the Murky Waters family who is not a merchant. Running the household and dealing with a moody teenager is plenty to keep her busy, or so it would seem. She does, however, have the time to muse about her husband's activities when he is not at home or working.She is very friendly and apparently a very good cook. She gives Geralt the Temptation quest. Her husband is carrying on with a succubus and she would like an end to it. She offers a book of herbal lore as the reward, but as Geralt leaves her hut, he is immediately intercepted by her husband, who knows what she is up to. He makes Geralt a counter-offer. Decisions, decisions..."
"15","Blue-eyed lass","Human","Female",NA,NA,"Blue-eyed lass was the unnamed sister of an Order of the Flaming Rose knight going by the name of Patrick de Weyze, and one of the beauties working at the House of the Queen of the Night, the finest bordello in Vizima that served the rich and powerful.Ironically, her eyes were actually green. She loved sapphires, in any form, as they supposedly brought out the beauty of her eyes. She also had a mysterious scar on her neck, left by a vampire.She ran away from home to get away from her controlling brother but he wanted her to come back and marry the man he chose for her. She, however, had absolutely no intention of going back as she loved her life at the House of the Night."
"16","Bogut Kuternoga","Human",NA,NA,NA,"Bogut Kuternoga seems to be an early fence sketch. He is a character which was conceived, but not implemented, for The Witcher computer game. The sources of the items he sells including weapons, armour and jewellery are very suspicious. He would have wandered the streets of Vizima having no fixed address.""Kuternoga"" translates to ""lame duck"" in Polish."
"17","Boholt","Human","Male","Mercenary"," Crinfrid Reavers","Marian Glinka (The Hexer)Boholt was the oldest member and also the leader of the Crinfrid Reavers, a group of mercenaries hired by King Niedamir to take part in the hunt for Myrgtabrakke, a dragon outside Barefield. The two of his compatriots were Kennet and Gar.[1]Together with his comrades he managed to slay three red and one black dragon as well as wiped out all of the dracolizards and forktails in Redania. Their fame became so notorious that even Geralt of Rivia admired their skill.For the main article on this hunt, see The Bounds of Reason.In 1254 the Reavers were hired by Niedamir to help in hunting green dragon Myrgtabrakke. This turned harder than expected – Myrgtabrakke had a baby and was protected by golden dragon Villentretenmerth who injured Boholt's head during the fight.By the time of 1271, when Kennet and Gar met again with Geralt, they could tell him only a sad tale of what became of their leader after the dragon hunt. They said to him that Boholt lost his memory after taking a spill and hitting his head on a rock. While he could ""still be a beast in battle"", he did nought much else and even lost his interest in women.[2]He eventually recovered some of his memories and started training new Reavers, including Jamor and Auwry.[3]"
"18","Bookseller","Human","Male",NA,NA,"""A good book perhaps?"" This is the inventory of the bookseller who has his stall on Tanners Square in the Trade Quarter marketplace:"
"19",NA,NA,NA,NA,NA,"NULL"
"20","Buse","Human",NA,NA,NA,"Buse himself is in the refugee cave nearest to the entrance to the cemetery on Cemetery Island."
"21","Carmen","Human","Female","Prostitute"," Eager Thighs brothel","Carmen was the madame at the Eager Thighs brothel, located in the slums of the Temple Quarter, near The Hairy Bear. Her girls could be found plying their trade all around the Temple Quarter, and even on the dike. She, however, prefered to stay close to her base of operations, and so is usually found either directly outside the brothel, or just inside keeping the place tidy.She had protection arrangements for her girls in place with the local underworld, but on occasion must've call upon extra help with some of the nastier elements of the trade. Since Salamandra had moved into town, no one was safe. In Working Girls, she asked the witcher to help three of her girls who were being menaced.She was one possible choice of guest to invite to Shani's party, though probably not a welcome one. That was all right, as it turned out that she was in love with a werewolf anyway, but she would not reveal his identity, in case Geralt decided to kill him. This left the witcher no other choice than to find out for himself.It was not Geralt's investigation however, that revealed the werewolf's identity. A chance encounter in the restricted part of the Trade Quarter lead to the surprising discovery that Carmen's lover was none other than Vincent, captain of the City Guard. Once she realized that Geralt knew that Vincent was the werewolf, she begged him to help find a cure.She also enjoyed a good round of dice and was a novice player herself."
"22","Caroline","Human",NA,NA,NA,"Fandom may earn an affiliate commission on sales made from links on this page."
"23","Celina","Human",NA,NA,NA,"Celina was Tobias Hoffman's elder daughter. She was jealous of her little sister Alina, who was getting married to Julian, a wealthy merchant from Kovir.Before the wedding, Celina tried to get revenge on her sister by ""having"" the witcher, whom she felt her sister would naturally snatch from her. She told Geralt that she would have him on the nearest rock and demanded a ring, ""as nice as Alina's"" for this tryst.Celina ultimately met a tragic end at the hands of Adam, her sister's lover (not her sister's fiancé!), ending up cursed to be a nightwraith. She argued about Julian with Alina and the argument spiraled into manslaughter as Celina pushed her sister who hit her head on a rock as she fall and was killed. Adam was overcome with grief and anger when he learnt of this and killed Celina to avenge his beloved.Poor Alina also returned, as a noonwraith, due to the circumstances of her death at the hands her sister. If only their love for each other was as great as their love of themselves, one wonders if this tale may have had a different ending...As a nightwraith, she roamed the Fields at night until her spirit could be put to rest. Geralt can encounter her in that form several times, if he also wanders the fields at night. Each time, she laments her fate:Then she attacks and must be killed. This continues to happen until her spirit is allowed to move on, which can not happen without the Wreath of Immortelles, which Geralt can get in return for completing a quest for the Hermit.Having been set free, she disappears. She does return, however, depending on choices made by Geralt regarding his path. If he chooses the Witcher / neutral path, she appears, still as a nightwraith, to help him (or possibly fight him) in the Ice Plains."
"24","Chireadan","Elf (Aen Seidhe)","Male","Tavern owner (canon)Guerrilla fighter (games)"," Scoia'tael (games)","Chireadan was an elf from the Redanian city of Rinde, a tavern owner, and Errdil's cousin.Despite elves typically not finding humans to be attractive, he was secretly in love with Yennefer, though he never revealed his feelings to the sorceress. However, he didn't let his feelings get in the way when he saw that Geralt was also infatuated with Yennefer and even pulled the others away when he saw the two having sex in his cousin's destroyed inn after fighting off a djinn.In Chapter IV, at the Lakeside, Chireadan, an elf among Toruviel's ragtag group recognizes Geralt. It seems he knows the witcher from somewhere before, but of course Geralt has no memory of him. This previous encounter, which is not described in any further detail, is a reference to the The Last Wish.He is also a sharper, and thus one of the available dice players. He can be found any time, day or night to play. During the day, he is typically sitting at one of the two campfires nearest the Elven Cave. At night, he will be sleeping in the cave, but does not complain at all about being woken up just for a game."
"25",NA,NA,NA,NA,NA,"City Guard is what passes for law and order in the day-to-day lives of the residents of Vizima and the Outskirts.Viziman guard appears also in polish graphic novelization of short story the Witcher illustrated by Boguslaw Polch.In The Witcher, city guards are stationed at all gates and also roam the streets. They also help Geralt fight salamanders and other monsters if they happen to be nearby. Their default behaviour is to help the witcher. They are based out of the city dungeon. The captain of the City Guard is Vincent Meis.Geralt can attack some members of the city guard, but only those who have a blue base (circle on the ground). Those with green bases can not be attacked.If Geralt accidentally angers a city guard (with a blue base), say by attacking them, their attitude toward Geralt becomes hostile and their base and labels turn red as will those of any affiliated NPCs in the area. This means that the fight is on. Not all NPCs will suddenly attack, only those NPCs which can attack Geralt will do so, but commoners will simply cower in fear.If Geralt kills one of the city guards, a warrant with royal gold will be sent. This action will summon a relentless headhunter (or more accurately, a relentless and unending series of headhunters). Geralt can choose to engage a headhunter in battle or pay 1000 . However, it is extremely difficult to kill a headhunter and since killing one only summons another, the best solution is to run away before killing any guards (eventually they do revert to their non-hostile state) or pay up."
"26",NA,NA,NA,NA,NA,"NULL"
"27",NA,NA,NA,NA,NA,"NULL"
"28","Coleman","Human","Male",NA,NA,"Coleman was known as a ""white death merchant"" by the elves. He worked for Ramsmeat, dealing fisstech and was the intended recipient of the parcel Haren Brogg gave to Geralt in Chapter I, until it is ""confiscated"" by Jethro. He can be found in the back room of The Hairy Bear with Ramsmeat, in the Temple Quarter, or just outside the western gate on the dike.Coleman also happened to be Vincent Meis' informant. Geralt can choose to turn him in or not.Depending on whether or not Geralt allowed the Scoia'tael to take the weapons from Haren Brogg's crates in the Outskirts, Coleman could wind up on the wrong end of an elven arrow."
"29","Con artist","Human","Male",NA,NA,"In addition, if the player elects to play judge, jury, and executioner on the con artist for being conned after the quest, it is possible to kill him. Simply meet the npc a little earlier than 6am, hand in the heirloom and as he is walking away, attack him. This action will not incur the wrath from a bounty hunter."
"30","Conrad","Human",NA,NA,NA,"Conrad hangs out at The Hairy Bear in the slums of the Temple Quarter. He was quite the wine snob and gave Geralt the A Most Uncommon Wine quest. He did not hang around the inn all the time, but he was there every evening. You could do a drinking contest with him, but there was no reward.He was also present in Chapter III but appears no different."
"31","Corbin","Human",NA,NA,NA,"Corbin himself can be found in the Druids' cave."
"32",NA,NA,NA,NA,NA,"NULL"
